epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,696.577,3.08928,28.2648,2.19314,0,0,0,0,0.66957,2.1278,0.64111,0.00332941,0.00332941,0.00332941
2,1351.37,2.54691,3.15829,1.75424,0.05991,0.21168,0.05085,0.01522,0.75287,0.87678,0.51447,0.00664075,0.00664075,0.00664075
3,1999.34,2.15767,1.94001,1.43897,0.58982,0.45134,0.4765,0.16478,0.56243,1.67474,0.39746,0.0099301,0.0099301,0.0099301
4,2644.49,1.94331,1.50172,1.30447,0.69246,0.50182,0.63132,0.28643,0.44054,0.48409,0.30195,0.009901,0.009901,0.009901
5,3292.69,1.80348,1.40517,1.23676,0.69224,0.57664,0.6545,0.32362,0.42079,0.56266,0.29522,0.009868,0.009868,0.009868
6,3966.58,1.76069,1.33873,1.20969,0.85048,0.59672,0.72623,0.39167,0.39397,0.32632,0.27662,0.009835,0.009835,0.009835
7,4619.87,1.68251,1.22024,1.17444,0.8043,0.59124,0.72095,0.37436,0.39583,0.36043,0.27833,0.009802,0.009802,0.009802
8,5263.27,1.63644,1.1447,1.12219,0.8258,0.65745,0.78677,0.4096,0.38181,0.30145,0.26855,0.009769,0.009769,0.009769
9,5907.25,1.57188,1.11908,1.10115,0.85113,0.67815,0.82394,0.4652,0.37086,0.28198,0.25934,0.009736,0.009736,0.009736
10,6550.94,1.50125,1.04835,1.05699,0.91265,0.70545,0.84254,0.4512,0.38164,0.37488,0.26476,0.009703,0.009703,0.009703
11,7194.09,1.52292,1.06987,1.06254,0.77748,0.78832,0.8497,0.48923,0.33839,0.27594,0.24726,0.00967,0.00967,0.00967
12,7836.61,1.54052,1.03686,1.07343,0.77758,0.79743,0.86138,0.48648,0.34387,0.33408,0.25044,0.009637,0.009637,0.009637
13,8479.13,1.4549,0.97714,1.02746,0.8124,0.76642,0.85633,0.50273,0.34605,0.26441,0.25069,0.009604,0.009604,0.009604
14,9121.7,1.42719,0.96641,1.04465,0.82053,0.80474,0.90562,0.53373,0.32412,0.22531,0.24003,0.009571,0.009571,0.009571
15,9763.95,1.43308,0.9672,1.00637,0.8545,0.78235,0.90212,0.53825,0.33868,0.24792,0.24054,0.009538,0.009538,0.009538
16,10406.8,1.37297,0.93054,1.01215,0.86142,0.7827,0.90447,0.55408,0.31708,0.23282,0.23801,0.009505,0.009505,0.009505
17,11048.1,1.39076,0.92993,1.0168,0.82102,0.78684,0.88498,0.53417,0.32214,0.22839,0.24172,0.009472,0.009472,0.009472
18,11689.5,1.33585,0.90107,0.98379,0.88041,0.74818,0.88547,0.53271,0.3139,0.23594,0.23789,0.009439,0.009439,0.009439
19,12331.4,1.31732,0.85944,0.95097,0.85858,0.84307,0.91434,0.54383,0.31461,0.23466,0.23728,0.009406,0.009406,0.009406
20,12972.7,1.30964,0.87881,0.95563,0.77694,0.87774,0.91341,0.57748,0.29052,0.20434,0.22414,0.009373,0.009373,0.009373
21,13614.7,1.35827,0.88927,0.97562,0.80678,0.86131,0.89697,0.5527,0.31478,0.40156,0.23374,0.00934,0.00934,0.00934
22,14255.7,1.34487,0.87339,0.98244,0.8595,0.80839,0.91093,0.57907,0.29933,0.20924,0.22699,0.009307,0.009307,0.009307
23,14897.5,1.28801,0.8339,0.93743,0.86445,0.81569,0.92002,0.56128,0.30074,0.21772,0.22975,0.009274,0.009274,0.009274
24,15538.7,1.25104,0.81508,0.92937,0.84527,0.84735,0.93106,0.5812,0.28568,0.21088,0.22376,0.009241,0.009241,0.009241
25,16179.8,1.2359,0.8032,0.92624,0.8748,0.84672,0.93412,0.59411,0.28973,0.20224,0.22667,0.009208,0.009208,0.009208
26,16821.3,1.21308,0.80487,0.90132,0.84296,0.88155,0.93611,0.60487,0.27907,0.19282,0.22473,0.009175,0.009175,0.009175
27,17464.6,1.28475,0.85283,0.97632,0.84728,0.88139,0.93607,0.60071,0.28669,0.18961,0.22194,0.009142,0.009142,0.009142
28,18107.9,1.29596,0.82739,0.97025,0.87123,0.81486,0.91506,0.58883,0.30243,0.21302,0.22562,0.009109,0.009109,0.009109
29,18927.1,1.24408,0.7891,0.93861,0.83204,0.88869,0.93042,0.60728,0.28958,0.19446,0.22418,0.009076,0.009076,0.009076
30,20316,1.2149,0.78772,0.92576,0.81713,0.89051,0.93128,0.62139,0.27392,0.19735,0.21559,0.009043,0.009043,0.009043
31,21709,1.23139,0.78258,0.95196,0.84469,0.88321,0.93478,0.62248,0.27795,0.18996,0.21859,0.00901,0.00901,0.00901
32,22604.2,1.26154,0.81417,0.92696,0.83791,0.88504,0.94715,0.62704,0.27276,0.17962,0.2162,0.008977,0.008977,0.008977
33,23245.9,1.21104,0.77153,0.92375,0.85028,0.89964,0.94051,0.6362,0.27371,0.18655,0.21731,0.008944,0.008944,0.008944
34,23887.2,1.19128,0.76672,0.9099,0.89327,0.85527,0.93807,0.62974,0.27972,0.19131,0.21701,0.008911,0.008911,0.008911
35,24528.2,1.19687,0.77415,0.92227,0.84657,0.87591,0.93688,0.63273,0.26884,0.1813,0.21647,0.008878,0.008878,0.008878
36,25170,1.20411,0.76308,0.94218,0.85961,0.90511,0.94566,0.65207,0.26739,0.17936,0.2149,0.008845,0.008845,0.008845
37,25812.6,1.17808,0.76998,0.90682,0.87152,0.88321,0.94663,0.63068,0.26795,0.18301,0.216,0.008812,0.008812,0.008812
38,26455.2,1.2038,0.74673,0.92032,0.88906,0.87747,0.95588,0.64271,0.26081,0.18482,0.21331,0.008779,0.008779,0.008779
39,27097.7,1.17356,0.75468,0.92523,0.88431,0.86861,0.94814,0.6433,0.26424,0.19073,0.21388,0.008746,0.008746,0.008746
40,27742.2,1.21096,0.75044,0.92708,0.88109,0.87956,0.94999,0.6388,0.27295,0.17909,0.21585,0.008713,0.008713,0.008713
41,28386,1.13974,0.72525,0.91613,0.87541,0.88471,0.94942,0.64093,0.26645,0.17064,0.21345,0.00868,0.00868,0.00868
42,29029.5,1.16781,0.7259,0.89636,0.86807,0.90511,0.9511,0.65315,0.26218,0.16838,0.21075,0.008647,0.008647,0.008647
43,29674,1.17416,0.71359,0.90924,0.87377,0.90146,0.9443,0.64818,0.26775,0.17143,0.21208,0.008614,0.008614,0.008614
44,30316.9,1.11694,0.68274,0.87049,0.90446,0.86861,0.95184,0.64938,0.26606,0.16828,0.21168,0.008581,0.008581,0.008581
45,30960.7,1.15527,0.74458,0.9153,0.88413,0.88869,0.94453,0.6455,0.27093,0.17311,0.21268,0.008548,0.008548,0.008548
46,31603.2,1.17729,0.7125,0.91915,0.86676,0.9141,0.95183,0.63999,0.26734,0.17322,0.21397,0.008515,0.008515,0.008515
47,32245.8,1.07726,0.66445,0.86137,0.89674,0.8874,0.95247,0.65182,0.26243,0.17358,0.21251,0.008482,0.008482,0.008482
48,32888.2,1.16652,0.71219,0.92061,0.87862,0.91423,0.95466,0.65619,0.25939,0.17077,0.21081,0.008449,0.008449,0.008449
49,33532.1,1.15138,0.72145,0.90192,0.88355,0.89994,0.94832,0.64881,0.26087,0.17417,0.21187,0.008416,0.008416,0.008416
50,34174.2,1.15554,0.72808,0.89309,0.88854,0.89051,0.95269,0.6534,0.25827,0.17004,0.21206,0.008383,0.008383,0.008383
51,34817.9,1.11793,0.68456,0.88623,0.87255,0.90693,0.95551,0.65418,0.25935,0.16945,0.21215,0.00835,0.00835,0.00835
52,35461.2,1.13127,0.72232,0.89941,0.86818,0.91241,0.95618,0.6507,0.25962,0.17178,0.21157,0.008317,0.008317,0.008317
53,36104.8,1.13951,0.71438,0.89258,0.88201,0.91393,0.95671,0.65814,0.25795,0.16845,0.20966,0.008284,0.008284,0.008284
54,36747.7,1.11595,0.71465,0.88046,0.8818,0.8985,0.95427,0.65363,0.25724,0.1675,0.2109,0.008251,0.008251,0.008251
55,37391.1,1.10761,0.6759,0.89627,0.87481,0.91423,0.95361,0.65355,0.2569,0.16576,0.2109,0.008218,0.008218,0.008218
56,38034.6,1.13255,0.70822,0.89417,0.88247,0.90511,0.95324,0.65402,0.25421,0.17079,0.20998,0.008185,0.008185,0.008185
57,38678.6,1.12599,0.7231,0.88072,0.87787,0.90328,0.95377,0.65616,0.25376,0.17192,0.2099,0.008152,0.008152,0.008152
58,39322.8,1.16241,0.70414,0.91926,0.88568,0.90146,0.95299,0.6558,0.25479,0.17082,0.20888,0.008119,0.008119,0.008119
59,39967.5,1.11558,0.70135,0.89169,0.88779,0.89513,0.95547,0.65537,0.25319,0.16951,0.2087,0.008086,0.008086,0.008086
60,40611.5,1.12057,0.69815,0.88098,0.88651,0.89799,0.95995,0.66555,0.25183,0.16696,0.20744,0.008053,0.008053,0.008053
61,41257.3,1.11639,0.67782,0.90107,0.8784,0.90957,0.95947,0.66274,0.24997,0.16478,0.20751,0.00802,0.00802,0.00802
62,41902.6,1.12684,0.72652,0.91407,0.88313,0.90511,0.96022,0.66894,0.24985,0.16612,0.20768,0.007987,0.007987,0.007987
63,42548.2,1.1315,0.69267,0.89597,0.88979,0.90146,0.95904,0.66569,0.24984,0.16744,0.20787,0.007954,0.007954,0.007954
64,43192.7,1.12152,0.70829,0.89525,0.89921,0.89539,0.95863,0.66536,0.24821,0.16732,0.20695,0.007921,0.007921,0.007921
65,43837.5,1.09134,0.66384,0.87866,0.90049,0.89599,0.96068,0.66632,0.24938,0.16687,0.20714,0.007888,0.007888,0.007888
66,44482.2,1.11135,0.68732,0.88458,0.89103,0.89528,0.95834,0.66882,0.24898,0.16642,0.20679,0.007855,0.007855,0.007855
67,45126.1,1.08442,0.6658,0.8813,0.89729,0.89274,0.95762,0.66976,0.24822,0.16671,0.20681,0.007822,0.007822,0.007822
68,45770.8,1.07727,0.64961,0.85524,0.89598,0.90328,0.9566,0.66851,0.247,0.16555,0.20642,0.007789,0.007789,0.007789
69,46414.3,1.10287,0.68502,0.87953,0.89474,0.90693,0.95599,0.6695,0.24788,0.1654,0.20641,0.007756,0.007756,0.007756
70,47057.7,1.08787,0.69483,0.88797,0.89742,0.91241,0.95628,0.67163,0.24666,0.16651,0.20635,0.007723,0.007723,0.007723
71,47701.2,1.0614,0.65816,0.86642,0.89575,0.90876,0.95656,0.67103,0.24681,0.1668,0.20636,0.00769,0.00769,0.00769
72,48344.3,1.09725,0.64024,0.86341,0.88909,0.90693,0.95707,0.67077,0.24656,0.16675,0.20651,0.007657,0.007657,0.007657
73,48987.3,1.06337,0.63199,0.8667,0.89176,0.90328,0.95645,0.6712,0.24658,0.16752,0.20645,0.007624,0.007624,0.007624
74,49629.8,1.11347,0.67883,0.88306,0.89047,0.90494,0.95668,0.6724,0.2472,0.16754,0.20651,0.007591,0.007591,0.007591
75,50271.9,1.07957,0.68564,0.8639,0.89437,0.90328,0.95727,0.67111,0.24769,0.16746,0.20661,0.007558,0.007558,0.007558
76,50915.3,1.10481,0.67495,0.8981,0.89558,0.89781,0.95708,0.67245,0.24704,0.16788,0.20648,0.007525,0.007525,0.007525
77,51558.1,1.04073,0.63085,0.86475,0.89279,0.89656,0.95724,0.67063,0.24708,0.16817,0.20634,0.007492,0.007492,0.007492
78,52200.7,1.06108,0.65142,0.87494,0.88512,0.90146,0.95563,0.67286,0.2464,0.16783,0.20625,0.007459,0.007459,0.007459
79,52843.3,1.05669,0.65691,0.88384,0.88632,0.90328,0.95576,0.67298,0.24675,0.16746,0.20621,0.007426,0.007426,0.007426
80,53486.5,1.0169,0.62803,0.81551,0.88645,0.90328,0.95594,0.67268,0.24677,0.16726,0.20623,0.007393,0.007393,0.007393
81,54128.3,1.0558,0.66444,0.85668,0.88727,0.90489,0.95618,0.67288,0.24748,0.1673,0.20621,0.00736,0.00736,0.00736
82,54770.3,1.03585,0.63048,0.85983,0.88531,0.90511,0.95619,0.67409,0.24744,0.16691,0.20616,0.007327,0.007327,0.007327
83,55413.3,1.03234,0.62111,0.87582,0.8895,0.90693,0.95634,0.67513,0.24665,0.16697,0.20609,0.007294,0.007294,0.007294
84,56055.8,1.06753,0.6423,0.85298,0.88729,0.90876,0.95676,0.67564,0.24675,0.16678,0.20605,0.007261,0.007261,0.007261
85,56698.5,1.09429,0.6597,0.87155,0.88884,0.91241,0.95688,0.67596,0.24696,0.1663,0.20592,0.007228,0.007228,0.007228
86,57339.1,1.01941,0.61676,0.83037,0.89219,0.91423,0.95837,0.67672,0.24674,0.16607,0.20585,0.007195,0.007195,0.007195
87,57980.4,1.11965,0.68072,0.90501,0.89338,0.91746,0.9584,0.67616,0.24662,0.16593,0.20582,0.007162,0.007162,0.007162
88,58621.8,1.06261,0.64709,0.85596,0.89257,0.91788,0.95822,0.67593,0.24662,0.16582,0.20571,0.007129,0.007129,0.007129
89,59261.9,1.08385,0.66659,0.87956,0.89313,0.91503,0.95839,0.6762,0.24625,0.1656,0.20572,0.007096,0.007096,0.007096
90,59903.5,1.0282,0.63367,0.86569,0.89527,0.92039,0.95917,0.67617,0.24629,0.16534,0.20564,0.007063,0.007063,0.007063
91,60543.7,1.04697,0.6266,0.86492,0.90426,0.91971,0.95948,0.67606,0.24533,0.16514,0.20554,0.00703,0.00703,0.00703
92,61184.3,1.08697,0.64674,0.91128,0.90459,0.91971,0.95963,0.67595,0.24515,0.16495,0.20544,0.006997,0.006997,0.006997
93,61825.3,1.0007,0.61783,0.85671,0.90663,0.92135,0.96041,0.67541,0.24518,0.16495,0.20544,0.006964,0.006964,0.006964
94,62466.2,1.0238,0.59241,0.85151,0.90659,0.92091,0.96116,0.67627,0.24554,0.165,0.20546,0.006931,0.006931,0.006931
95,63106.9,1.02013,0.61948,0.85071,0.90635,0.91836,0.96125,0.67633,0.24497,0.16498,0.20541,0.006898,0.006898,0.006898
96,63748.2,1.00123,0.57535,0.85026,0.90438,0.91971,0.96055,0.67655,0.24478,0.16476,0.20533,0.006865,0.006865,0.006865
97,64390.5,1.03165,0.61901,0.84369,0.90446,0.91788,0.96075,0.67674,0.24462,0.16466,0.20534,0.006832,0.006832,0.006832
98,65032.3,1.01071,0.58745,0.83736,0.90562,0.91423,0.96131,0.6777,0.24451,0.16445,0.20534,0.006799,0.006799,0.006799
